ISO3,Country,hdicode,continent,region,hdi_rank_2021,co2_prod_2021,gnipc_2021,le_2021,hdi_2021
PRY,Paraguay,High,South America,LAC,105,1.061291226,12349.286,70.2617,0.717
PSE,"Palestine, State of",High,Asia,AS,106,0.568234611,6582.899416,73.4727,0.715
QAT,Qatar,Very High,Asia,AS,42,37.01945087,87134.13469,79.2716,0.855
ROU,Romania,Very High,Europe,,53,3.715362722,30027.29131,74.1847,0.821
RUS,Russian Federation,Very High,Europe,,52,10.8071526,27166.30891,69.419,0.822
RWA,Rwanda,Low,Africa,SSA,165,0.079731518,2209.795202,66.0722,0.534
SAU,Saudi Arabia,Very High,Asia,AS,35,17.96720336,46111.55135,76.936,0.875
SDN,Sudan,Low,Africa,AS,172,0.430091637,3575.19084,65.2667,0.508
SEN,Senegal,Low,Africa,SSA,170,0.624178545,3344.311825,67.0926,0.511
SGP,Singapore,Very High,Asia,EAP,12,7.777989731,90918.64471,82.7545,0.939
SLB,Solomon Islands,Medium,Oceania,EAP,155,0.434978832,2481.511362,70.3477,0.564
SLE,Sierra Leone,Low,Africa,SSA,181,0.109965133,1621.512579,60.0624,0.477
SLV,El Salvador,Medium,North America,LAC,125,0.944111387,8295.665889,70.7479,0.675
SMR,San Marino,Very High,Europe,,44,,52653.82534,80.8786,0.853
SOM,Somalia,,Africa,AS,,0.035369795,1017.96785,55.2803,
SRB,Serbia,Very High,Europe,ECA,63,4.936885477,19123.02747,74.1923,0.802
SSD,South Sudan,Low,Africa,SSA,191,0.105344736,767.787,54.9752,0.385
STP,Sao Tome and Principe,Medium,Africa,SSA,138,0.514421037,4021.350815,67.5912,0.618
SUR,Suriname,High,South America,LAC,99,3.791474042,12672.20033,70.2743,0.73
SVK,Slovakia,Very High,Europe,,45,5.628647446,30690.48552,74.9101,0.848
SVN,Slovenia,Very High,Europe,,23,6.042989257,39746.01987,80.6904,0.918
SWE,Sweden,Very High,Europe,,7,3.825506114,54489.37401,82.9833,0.947
SWZ,Eswatini (Kingdom of),Medium,Africa,SSA,144,0.823831803,7678.591873,57.0657,0.597
SYC,Seychelles,High,Africa,SSA,72,4.993238228,25830.61775,71.2945,0.785
SYR,Syrian Arab Republic,Medium,Asia,AS,150,1.744614402,4191.933893,72.0627,0.577
TCD,Chad,Low,Africa,SSA,190,0.055540457,1364.169417,52.5254,0.394
TGO,Togo,Low,Africa,SSA,162,0.264726786,2166.619062,61.6194,0.539
THA,Thailand,Very High,Asia,EAP,66,3.692920935,17030.15352,78.7154,0.8
TJK,Tajikistan,Medium,Asia,ECA,122,0.990569475,4547.742427,71.5942,0.685
TKM,Turkmenistan,High,Asia,ECA,91,12.49132843,13020.7155,69.2644,0.745
TLS,Timor-Leste,Medium,Asia,EAP,140,0.398727289,4460.869435,67.7369,0.607
TON,Tonga,High,Oceania,EAP,91,1.359761578,6822.03125,70.9857,0.745
TTO,Trinidad and Tobago,Very High,North America,LAC,57,25.37313646,23392.02084,72.9709,0.81
TUN,Tunisia,High,Africa,AS,97,2.379863502,10257.54477,73.7719,0.731
TUR,TÃ¼rkiye,Very High,Asia,ECA,48,4.657320907,31032.80106,76.0324,0.838
TUV,Tuvalu,Medium,Oceania,EAP,130,0.641460312,6351.435899,64.5466,0.641
TZA,Tanzania (United Republic of),Low,Africa,SSA,160,0.183121172,2664.329096,66.2007,0.549
UGA,Uganda,Low,Africa,SSA,166,0.106954357,2181.43651,62.7048,0.525
UKR,Ukraine,High,Europe,ECA,77,4.891161661,13255.50977,71.624,0.773
URY,Uruguay,Very High,South America,LAC,58,1.681218748,21268.88122,75.4356,0.809
USA,United States,Very High,North America,,21,14.23786361,64765.21509,77.1982,0.921
UZB,Uzbekistan,High,Asia,ECA,101,3.369793419,7916.785725,70.8616,0.727
VCT,Saint Vincent and the Grenadines,High,North America,LAC,89,1.882819542,11961.08792,69.6291,0.751
VEN,Venezuela (Bolivarian Republic of),Medium,South America,LAC,120,2.975442345,4810.882621,70.5536,0.691
VNM,Viet Nam,High,Asia,EAP,115,2.612563309,7867.371345,73.6181,0.703
VUT,Vanuatu,Medium,Oceania,EAP,140,0.591056341,3085.411633,70.449,0.607
WSM,Samoa,High,Oceania,EAP,111,1.238975072,5307.953374,72.7675,0.707
YEM,Yemen,Low,Asia,AS,183,0.327509951,1314.270189,63.7534,0.455
ZAF,South Africa,High,Africa,SSA,109,7.620419537,12948.37325,62.341,0.713
ZMB,Zambia,Medium,Africa,SSA,154,0.3575346,3217.767739,61.2234,0.565
ZWE,Zimbabwe,Medium,Africa,SSA,146,0.708561788,3809.887158,59.2531,0.593
